id,tested_positive
0,8.566788
1,7.895729
2,5.2168236
3,9.433092
4,17.659515
5,15.023947
6,10.461159
7,15.013852
8,12.43784
9,11.508109
10,9.391548
11,10.266313
12,10.206906
13,16.394085
14,15.050246
15,7.2466607
16,8.899308
17,5.4020996
18,8.70053
19,9.76738
20,19.952387
21,5.6408544
22,10.572796
23,10.241247
24,15.034259
25,18.572039
26,24.121195
27,9.0413685
28,6.416277
29,16.055204
30,13.561819
31,5.1693764
32,11.909766
33,9.0005865
34,9.528239
35,5.8469543
36,13.615706
37,15.336606
38,9.379753
39,13.21449
40,14.206483
41,24.59606
42,5.735088
43,10.689932
44,23.42379
45,22.701117
46,16.954683
47,6.168866
48,9.658883
49,4.1656475
50,5.281971
51,7.1504135
52,13.226453
53,16.865812
54,16.088142
55,18.08882
56,16.766039
57,11.861749
58,24.63717
59,8.950656
60,17.576283
61,19.057116
62,11.992002
63,16.525679
64,19.791826
65,14.730507
66,10.142785
67,5.911441
68,8.977569
69,16.438372
70,22.069004
71,21.339605
72,5.0253496
73,12.325118
74,18.584845
75,12.541852
76,15.779161
77,12.25619
78,10.28384
79,15.285633
80,20.119486
81,5.5246115
82,22.898653
83,16.479269
84,23.132822
85,10.411831
86,7.321372
87,17.87201
88,23.853132
89,5.754836
90,14.131992
91,16.447233
92,18.393114
93,20.577644
94,17.658123
95,11.079312
96,27.234013
97,10.971118
98,20.056784
99,20.007225
100,19.666239
101,18.824492
102,7.6857185
103,16.622847
104,19.49754
105,10.116339
106,18.161701
107,18.761005
108,6.191416
109,20.196743
110,22.149452
111,19.505539
112,21.490337
113,20.045399
114,10.293512
115,6.236366
116,19.443754
117,12.1473675
118,23.07121
119,16.327194
120,20.63579
121,7.2326827
122,10.190091
123,11.3264
124,18.905043
125,9.657909
126,12.286075
127,13.866353
128,14.349675
129,8.539472
130,13.737879
131,5.1565475
132,7.540615
133,5.294612
134,11.430048
135,18.219597
136,18.020735
137,20.345192
138,5.2290344
139,10.064959
140,11.07224
141,10.172385
142,9.6447735
143,11.227384
144,22.446379
145,9.580612
146,10.497613
147,17.786951
148,21.183903
149,15.305175
150,11.099381
151,16.255102
152,10.503774
153,9.432009
154,21.168049
155,13.387496
156,13.798002
157,26.387182
158,21.102093
159,17.199572
160,11.13141
161,17.255796
162,9.016252
163,19.655642
164,8.353612
165,20.960772
166,10.390471
167,16.447294
168,10.698641
169,5.9224854
170,12.327609
171,11.503365
172,8.8244505
173,12.131591
174,22.368204
175,5.4527154
176,5.412717
177,21.32254
178,12.971046
179,12.602283
180,19.798067
181,19.235197
182,9.513499
183,10.495612
184,11.366719
185,10.571172
186,14.171562
187,21.633774
188,7.1683455
189,11.971337
190,6.1599402
191,5.8840714
192,18.14519
193,9.383119
194,8.659778
195,18.371815
196,19.333328
197,15.658299
198,5.741126
199,19.786924
200,6.9707317
201,12.303707
202,20.99222
203,20.052351
204,18.749533
205,9.13898
206,10.041493
207,7.9084206
208,11.431641
209,19.652454
210,10.91981
211,13.323308
212,19.700151
213,5.259404
214,13.996965
215,18.156605
216,13.578842
217,9.59592
218,20.529612
219,9.315145
220,7.387612
221,9.484337
222,12.315199
223,19.323902
224,16.403122
225,9.2361765
226,5.5015554
227,14.084128
228,15.753991
229,10.099709
230,12.244655
231,5.7545123
232,10.18707
233,18.869928
234,14.50515
235,5.8323674
236,9.923038
237,16.060555
238,10.746279
239,15.377245
240,20.005327
241,14.859156
242,24.108038
243,17.4645
244,9.466964
245,5.661079
246,19.603254
247,11.744938
248,20.892286
249,17.787535
250,18.925947
251,14.908135
252,17.209492
253,17.542805
254,14.676013
255,10.470332
256,20.553701
257,11.227469
258,12.207846
259,17.710356
260,14.355819
261,21.804129
262,11.536641
263,11.836359
264,15.602593
265,12.581241
266,13.997436
267,8.859761
268,12.607493
269,15.558381
270,11.487418
271,11.468464
272,18.536957
273,9.351321
274,16.721958
275,5.31567
276,14.127765
277,8.84463
278,15.275834
279,9.190955
280,19.219757
281,13.5522375
282,12.4718075
283,11.440221
284,6.5119786
285,15.871063
286,6.8424735
287,15.498637
288,9.563088
289,15.864192
290,17.021923
291,9.886552
292,14.918572
293,16.391054
294,14.375264
295,15.515965
296,15.712262
297,13.237525
298,9.838404
299,12.39986
300,17.587486
301,14.639664
302,19.709032
303,15.846903
304,15.827016
305,17.620152
306,16.998146
307,15.737172
308,15.309176
309,18.522282
310,16.555872
311,17.648235
312,15.443155
313,10.743233
314,12.635545
315,10.852536
316,11.088293
317,20.441523
318,12.852139
319,17.00035
320,18.05831
321,8.322928
322,13.738016
323,11.132628
324,9.57478
325,17.639278
326,6.145229
327,19.52386
328,8.763903
329,12.89585
330,16.05745
331,15.447052
332,11.987527
333,15.308021
334,12.905968
335,9.833546
336,10.801199
337,16.244152
338,10.404329
339,6.425672
340,16.38134
341,15.021912
342,13.867581
343,13.007842
344,6.1410456
345,16.13619
346,13.020189
347,16.36881
348,20.125868
349,6.7024245
350,12.323239
351,11.493771
352,14.4534025
353,5.830245
354,14.935682
355,16.918114
356,11.148119
357,16.320154
358,9.301196
359,5.711996
360,10.293172
361,10.907121
362,15.156613
363,13.7115135
364,11.500167
365,14.118449
366,9.600564
367,16.649347
368,5.7800426
369,11.483314
370,20.291063
371,10.509009
372,14.157477
373,17.125423
374,13.68217
375,17.58899
376,11.093101
377,14.364264
378,15.719902
379,5.281553
380,22.86922
381,7.8466406
382,16.851856
383,14.997533
384,14.781846
385,20.580175
386,14.378632
387,11.916802
388,14.992585
389,19.278107
390,15.371648
391,16.991674
392,11.875675
393,11.773927
394,9.883031
395,14.907012
396,14.103272
397,6.1856117
398,12.153518
399,6.57868
400,12.625747
401,12.506787
402,4.903531
403,6.9116483
404,11.197563
405,14.248689
406,10.580541
407,6.743448
408,6.117469
409,8.187598
410,6.638506
411,9.793138
412,6.3593745
413,12.136305
414,8.689377
415,14.08072
416,5.9737926
417,12.111543
418,7.788393
419,6.8319983
420,10.502232
421,7.2383575
422,14.329091
423,8.415118
424,14.459338
425,6.933824
426,12.387181
427,7.0332203
428,7.182565
429,12.694094
430,14.377605
431,17.087173
432,6.8666644
433,4.518288
434,9.921432
435,14.910773
436,10.379872
437,5.1597023
438,12.438278
439,6.873634
440,15.379834
441,11.826699
442,11.41666
443,14.9227085
444,7.2214675
445,17.09669
446,12.016933
447,15.960919
448,11.898107
449,11.753657
450,9.389905
451,9.001067
452,14.387073
453,12.295896
454,8.360742
455,13.930847
456,13.654629
457,12.524327
458,16.990095
459,7.168033
460,17.216475
461,8.377395
462,6.8639765
463,6.906005
464,7.6952434
465,5.7898417
466,12.231431
467,16.723976
468,7.4385586
469,11.942452
470,8.506863
471,12.363507
472,10.474227
473,7.1392684
474,9.95478
475,14.818397
476,7.4984217
477,5.6828876
478,8.07084
479,8.011948
480,17.608854
481,15.898661
482,8.535399
483,12.433305
484,10.245593
485,18.252472
486,12.006562
487,9.940127
488,12.409741
489,14.848706
490,8.930111
491,7.343402
492,10.979171
493,9.095998
494,16.81016
495,4.423145
496,15.68988
497,15.517179
498,8.140681
499,11.769382
500,6.709492
501,8.233464
502,16.97431
503,16.850828
504,12.392934
505,9.527247
506,13.674344
507,6.6655326
508,11.39194
509,6.0084724
510,9.206016
511,18.989609
512,9.544141
513,8.81594
514,6.705924
515,6.166129
516,19.702229
517,4.809871
518,14.498884
519,18.919207
520,8.837171
521,10.97082
522,5.4320006
523,6.355056
524,8.842106
525,19.620386
526,10.45976
527,17.279964
528,7.1657596
529,14.125764
530,12.059087
531,7.6277976
532,5.532396
533,16.828638
534,8.112943
535,15.996463
536,9.62809
537,10.086008
538,8.917324
539,16.009604
540,9.356158
541,17.641186
542,17.688774
543,11.074458
544,14.617033
545,9.021865
546,9.470718
547,9.560021
548,8.74978
549,11.857924
550,8.555735
551,12.987882
552,8.3782215
553,9.8201275
554,4.030672
555,13.287371
556,10.732961
557,8.99443
558,11.699054
559,10.915116
560,20.18046
561,11.350192
562,7.042058
563,12.515883
564,5.91443
565,7.502734
566,8.960627
567,16.216017
568,8.10288
569,9.46849
570,7.139082
571,11.223402
572,17.892801
573,12.736737
574,17.176731
575,9.645236
576,16.664703
577,6.1831894
578,7.3087053
579,9.1419935
580,8.635064
581,5.53751
582,7.236098
583,7.800216
584,9.328671
585,7.729002
586,9.5922575
587,6.378119
588,11.448109
589,7.9251804
590,7.0893044
591,15.922912
592,6.2112684
593,8.6914625
594,7.9945555
595,7.6087933
596,7.4816594
597,8.892798
598,7.042404
599,9.975984
600,10.11685
601,15.209579
602,8.25133
603,6.6230254
604,8.987687
605,15.619348
606,7.5289674
607,9.38717
608,9.595549
609,13.966484
610,14.5929785
611,8.292295
612,14.465479
613,5.9790583
614,13.373671
615,8.62012
616,7.8630247
617,14.083236
618,7.893492
619,17.299889
620,8.117087
621,8.220585
622,12.299985
623,8.142913
624,8.775903
625,6.583968
626,15.960163
627,19.218958
628,5.8174925
629,9.487779
630,5.957528
631,16.197445
632,9.288154
633,16.850008
634,8.849074
635,10.206031
636,12.03446
637,18.07987
638,8.193669
639,18.861628
640,8.192254
641,20.978298
642,9.344045
643,8.208644
644,7.3598266
645,9.401831
646,6.5119433
647,14.170092
648,9.377382
649,6.5434284
650,14.27413
651,7.0973268
652,8.801129
653,21.618858
654,16.682938
655,9.780533
656,14.76933
657,23.249866
658,14.90469
659,17.081774
660,14.7302885
661,7.342297
662,28.187077
663,8.763404
664,23.779911
665,17.33377
666,9.91599
667,13.917909
668,18.970829
669,9.591671
670,11.82874
671,11.386262
672,11.135004
673,13.724887
674,8.317928
675,21.961319
676,16.804935
677,16.284544
678,8.558505
679,14.221428
680,6.8608866
681,9.034678
682,28.073126
683,28.279871
684,7.0713215
685,17.514048
686,13.63367
687,13.712594
688,6.380866
689,6.2598295
690,14.11291
691,8.54025
692,21.61974
693,11.231307
694,7.869358
695,23.926918
696,6.8980546
697,19.550318
698,16.079058
699,23.237045
700,11.734878
701,14.898515
702,11.291902
703,5.2907114
704,10.159567
705,15.2027445
706,10.713307
707,10.574592
708,7.891775
709,24.435915
710,18.007618
711,10.705829
712,6.023796
713,11.155417
714,15.1927595
715,8.38965
716,13.19239
717,18.036222
718,7.0109625
719,10.636989
720,9.107871
721,15.800717
722,11.478763
723,12.572291
724,17.520096
725,17.612736
726,11.954482
727,15.405408
728,12.007924
729,5.0030184
730,22.331726
731,6.383046
732,8.215561
733,23.217234
734,8.866742
735,13.898869
736,15.195727
737,16.787117
738,8.599082
739,7.346732
740,7.630703
741,11.714939
742,12.679704
743,6.0869627
744,10.160256
745,15.382712
746,12.422307
747,17.759659
748,6.9148884
749,9.389098
750,8.25761
751,9.704604
752,11.700749
753,5.130212
754,12.479506
755,14.366393
756,12.222521
757,6.0463705
758,8.674608
759,10.813429
760,17.447063
761,9.193466
762,7.602852
763,13.705468
764,11.834995
765,5.6912603
